pt,en,domain,source,note
"counter-check, withdrawal receipt",cheque avulso,legal-general,Noronha,
"counter-frame, trim","contramarco (door, window)",legal-general,Noronha,
counter-suit,ação reconvencional,legal-general,Noronha,
"countercharge, counterclaim, countersuit","reconvenção, alegação em contrário, pretensão oposta",legal-general,Noronha,
counterclaim,"reconvir, reconvenção",legal-general,Noronha,
"counterclaim, countercharge, contersuit",contra-ação,legal-general,Noronha,
"counterfeit (to), forge (to), falsify (to)",falsificar,legal-general,Noronha,
"counterfeiting, forgery",falsificação (dinheiro),legal-general,Noronha,
countermark,contramarca,legal-general,Noronha,
"counteroffer/ proposal, cross-offer (is a counter proposal, otherwise it is a counteroffer)","contra proposta, contra oferta",legal-general,Noronha,
counterpart,"duplicata (de documentos), via",legal-general,Noronha,
counterparts,"vias, cópias",legal-general,Noronha,
countervailing duties,"tributação compensatória, direitos niveladores",legal-general,Noronha,
countervailing duty,tarifa compensatória,legal-general,Noronha,
country of residence,país de domicílio,legal-general,Noronha,
country property,"propriedade rural, rústica",legal-general,Noronha,
country specific hours,horário específico do país,legal-general,Noronha,
counts,pedidos ou acusações dentro de um processo; quesitos,legal-general,Noronha,
county,condado (manter porque a estrutura é diferente); cada condado tem municípios,legal-general,Noronha,
County court,Tribunal distrital,legal-mixed,TIPS,
County of New York,Condado de Nova Iorque,legal-general,Noronha,
"county, judicial district",comarca,legal-general,Noronha,
course of bricks,fileira de tijolos,legal-general,Noronha,
Court,Corte,legal-general,Noronha,
court,justiça togada,legal-general,Noronha,
court above,juízo superior,legal-general,Noronha,
court below,juízo inferior,legal-general,Noronha,
"court fees, court costs",custas processuais,legal-general,Noronha,
"court fees, legal expenses, legal fees",custas,legal-general,Noronha,
Court of Appeals,Tribunal de Apelação,legal-general,Noronha,
Court of Appeals (+ genérico),Juízo ou Tribunal de 2ª Instância,legal-general,Noronha,
Court of Common Pleas,Vara de Família,legal-general,Noronha,
Court of Common Pleas. Div. of Domestic Relations,"Tribunal de Processos Civis, Vara de Família",legal-general,Noronha,
court of equity,"tribunal de eqüidade, jurisdição de eqüidade",legal-general,Noronha,
court of Exchequer (UK),corte fiscal,legal-general,Noronha,
Court of First Instance,Tribunal de Primeira Instância,legal-general,Noronha,
Court of Justice,Fórum,legal-mixed,TIPS,
"Court of Justice, Court of Judicature, Court of Law","Tribunal de Justiça, Corte de Justiça",legal-general,Noronha,
Court of Last Resort,Tribunal de Última Instância,legal-general,Noronha,
Court of Law,Juízo (foro) Comum,legal-general,Noronha,
Court of ruling / Appellate ruling,Acórdão,legal-mixed,TIPS,
Court order,Decisão,legal-mixed,TIPS,
court order,"despacho, sentença, decisão, édito",legal-general,Noronha,
court order for service of process,despacho de citação,legal-general,Noronha,
"court papers, court record(s), record, brief",autos do processo,legal-general,Noronha,
court proceedings,processos judiciais,competition,CADE,
court room,sala de audiências,legal-general,Noronha,
court rule,"ordem judicial, despacho judicial, decisão interlocutória",legal-general,Noronha,
court with jurisdiction,juízo competente,legal-general,Noronha,
"court, bench, bar, tribunal","Tribunal, Corte de Justiça",legal-general,Noronha,
"court, bench, tribunal, circuit",Juízo,legal-general,Noronha,
"court-decided salary increase for a professional category, collective bargaining, collective wage bargaining, collective labor dispute",dissídio coletivo = é estabelecido elo estado pela Justiça do Trabalho quando as partes não chegam a acordo,legal-general,Noronha,
court-house,tribunal (edifício onde funciona),legal-general,Noronha,
"court-house, forum",Forum (Palácio da Justiça),legal-general,Noronha,
court-supervised composition with creditors in which owner retains management powers,concordata,legal-general,Noronha,
court/ legal/ judicial costs,custas judiciais,legal-general,Noronha,
Courthouse,Foro,legal-mixed,TIPS,
couvert artístico,cover charge,legal-general,Noronha,
cova,pit; hole; grave.,legal-general,Noronha,
covarde,coward; pusillanimous.,legal-general,Noronha,
covardia,cowardice.,legal-general,Noronha,
coveiro,grave digger.,legal-general,Noronha,
covenant,"ajuste, pacto, acordo, convenção, convênio, compromisso, cláusula de escritura de um contrato, promessa de fazer ou não fazer",legal-general,Noronha,
covenant not to compete,avença de não concorrência,legal-general,Noronha,
cover note,nota de cobertura do risco,legal-general,Noronha,
covered by this,cobertos por este,legal-general,Noronha,
covering letter,carta de apresentação (carta que explica documentos anexos),legal-general,Noronha,
cowardly murder,homicídio traiçoeiro,legal-general,Noronha,
"cowl, cowling",capô (de carro),legal-general,Noronha,
crachá,name tag,legal-general,Noronha,
cracking,fissuração (concreto),legal-general,Noronha,
crankshaft,virabrequim,legal-general,Noronha,
"crawler, caterpillar tractor",trator de esteira,legal-general,Noronha,
creation of the records,autuação,legal-general,Noronha,
creche,day care unit,legal-general,Noronha,
credenciado,"authorized; licensee (subst.); accredited (adj.); duly authorized, duly approved",legal-general,Noronha,
Credenciado,Qualified,legal-mixed,TIPS,
credenciadora,acquirer,competition,CADE,
credenciadora,acquiring bank,competition,CADE,
credencial,letter of credence; credential.,legal-general,Noronha,
credibilidade,credibility.,legal-general,Noronha,
credibilidade,credit worthiness,legal-general,Noronha,
credible witness,"testemunha fidedigna, idônea",legal-general,Noronha,
credit agreement,contrato de crédito,legal-general,Noronha,
credit balance,"saldo credor, saldo positivo",legal-general,Noronha,
Credit Dept.,Carteira de Crédito,legal-general,Noronha,
credit instrument; bill of exchange,obrigação cartular,legal-general,Noronha,
credit insurance,seguro de crédito,legal-general,Noronha,
credit obligation,obrigação creditória,legal-general,Noronha,
credit rating,classificação de crédito,legal-general,Noronha,
credit slip,depósito bancário (papeleta de),legal-general,Noronha,
credit union,cooperativa de crédito,legal-general,Noronha,
creditado,debtor; credited.,legal-general,Noronha,
creditador,creditor.,legal-general,Noronha,
creditar,to credit on,legal-general,Noronha,
creditar,to credit.,legal-general,Noronha,
creditor,credor,legal-general,Noronha,
creditor,credor; sujeito ativo da obrigação,legal-general,Noronha,
creditor’s rights,direito de credores,legal-general,Noronha,
crediário,charge account.,legal-general,Noronha,
credor,creditor,competition,CADE,
credor,creditor.,legal-general,Noronha,
credor hipotecário,mortgager; creditor.,legal-general,Noronha,
credor hipotecário,mortgages,legal-general,Noronha,
credor pignoratício,mortgage creditor; pledge creditor,legal-general,Noronha,
credor preferencial,perferred creditor; preference creditor.,legal-general,Noronha,
credor prioritário,preferred creditor.,legal-general,Noronha,
credor quirografário,unsecured creditor,legal-general,Noronha,
credor quirografário,unsecured creditor.,legal-general,Noronha,
credor registrado,lender of record,legal-general,Noronha,
credor; mutuante,creditor; lender (Contrato de Empresa),legal-general,Noronha,
cremação,cremation.,legal-general,Noronha,
crescente especialização,developing expertise,legal-general,Noronha,
crescimento anêmico,anemic growth,legal-general,Noronha,
Crescimento da demanda,Increase in demand,competition,CADE,
crescimento funcional,functional growth,legal-general,Noronha,
criado,servant.,legal-general,Noronha,
criador,creator; inventor; author; founder.,legal-general,Noronha,
criar coragem,to screw up; master their courage,legal-general,Noronha,
criatividade,creativeness,legal-general,Noronha,
criação,creation; invention; foundation.,legal-general,Noronha,
criação de camarão,shrimp farming,legal-general,Noronha,
crime,crime; offense; felony; indictable offense.,legal-general,Noronha,
crime afiançável,bailable crime.,legal-general,Noronha,
crime básico P),crime type.,legal-general,Noronha,
crime capital,capital crime.,legal-general,Noronha,
crime continuado,continuous crime.,legal-general,Noronha,
crime contra a honra P),defamation; libel.,legal-general,Noronha,
crime contra o patrimônio,larceny.,legal-general,Noronha,
crime culposo,culpable crime,legal-general,Noronha,
crime de explosão,crime of danger in the typical form of explosion!,legal-general,Noronha,
crime de guerra,war crime.,legal-general,Noronha,
crime de homicídio,homicide.,legal-general,Noronha,
crime de imprensa,criminal libel.,legal-general,Noronha,
crime de lesa-pátria,high treason,legal-general,Noronha,
crime de lesões corporais,aggravated assault.,legal-general,Noronha,
crime de prevaricação,crime of prevarication,legal-general,Noronha,
crime de roubo,robbery.,legal-general,Noronha,
crime do colarinho branco,white collar crime.,legal-general,Noronha,
crime doloso,felonious crime,legal-general,Noronha,
crime doloso,felony.,legal-general,Noronha,
crime doloso contra a vida,malicious crime against human life,legal-general,Noronha,
crime doloso/qualificado,felony,legal-general,Noronha,
